id,code,sku,site,descricao,marca,modelo,cache,frequencia,socket
100,KB-PR-100,BX8069510920X,Kabum,"Processador Intel Core i9-10920X Cascade Lake, Cache 19.25MB, 3.5GHz (4.8GHz Max Turbo), LGA 2066 - BX8069510920X",Intel,Core i9-10920X Cascade Lake,19.25MB,3.5GHz (4.8GHz Max Turbo),LGA 2066
101,KB-PR-101, BX80701G5900,Kabum,"Processador Intel Celeron G-5900, Cache 2MB, 3.4GHz, LGA 1200 -  BX80701G5900 ",Intel,Celeron G-5900,2MB,3.4GHz,LGA 1200
102,KB-PR-102,BX80684G5600,Kabum,"Processador Intel Pentium Gold G5600 Coffee Lake 8a Geração, Cache 4MB, 3.9Ghz, LGA 1151, Intel HD Graphics 630 BX80684G5600",Intel,Pentium Gold G5600 Coffee Lake 8a Geração,4MB,3.9Ghz,LGA 1151
103,KB-PR-103,BX80648I75960X,Kabum,"Processador Intel Core i7-5960X, Cache 20MB, 3.0GHz, DDR4 , LGA 2011-v3 BX80648I75960X",Intel,Core i7-5960X,20MB,3.0GHz,LGA 2011
113,KB-PR-113,100-100000061WOF,Kabum,"Processador AMD Ryzen 9 5900X, Cache 70MB, 3.7GHz (4.8GHz Max Turbo), AM4 - 100-100000061WOF",Amd,Ryzen 9 5900X,70MB,3.7GHz (4.8GHz Max Turbo),AM4
104,KB-PR-104,BX80684I78700K,Kabum,"Processador Intel Core i7-8700K Coffee Lake, Cache 12MB, 3.7GHz (4.7GHz Max Turbo), LGA 1151 - BX80684I78700K",Intel,Core i7-8700K Coffee Lake,12MB,3.7GHz (4.7GHz Max Turbo),LGA 1151
105,KB-PR-105,BX8070110700F,Kabum,"Processador Intel Core i7-10700F, Cache 16MB, 2.9GHz (4.8GHz Max Turbo), LGA 1200 - BX8070110700F",Intel,Core i7-10700F,16MB,2.9GHz (4.8GHz Max Turbo),LGA 1200
106,KB-PR-106,BX80673I99940X,Kabum,"Processador Intel Core i9-9940X Skylake, Cache 19.25MB, 3.3GHz (4.4GHz Max Turbo), LGA 2066 - BX80673I99940X",Intel,Core i9-9940X Skylake,19.25MB,3.3GHz (4.4GHz Max Turbo),LGA 2066
107,KB-PR-107,BX80646I54440,Kabum,Processador Intel Core i5-4440 6MB 3.1GHz (3.3GHz Max Turbo) LGA 1150 BX80646I54440,Intel,Core i5-4440,6MB,3.1GHz (3.3GHz Max Turbo),LGA 1150
108,KB-PR-108,BX80684I99900KS,Kabum,"Processador Intel Core i9-9900KS Coffee Lake Refresh, Geração, Cache 16MB, 4.0GHz (5.0GHz Max Turbo), LGA 1151 - BX80684I99900KS",Intel,Core i9-9900KS Coffee Lake Refresh,16MB,4.0GHz (5.0GHz Max Turbo),LGA 1151
109,KB-PR-109,BX80677I57400,Kabum,"Processador Intel Core i5-7400 Kaby Lake, Cache 6MB, 3Ghz (3.5GHz Max Turbo), LGA 1151 - BX80677I57400",Intel,Core i5-7400 Kaby Lake,6MB,3Ghz (3.5GHz Max Turbo),LGA 1151
110,KB-PR-110,BX8069510900X,Kabum,"Processador Intel Core i9-10900X Cascade Lake, Cache 19.25MB, 3.7GHz (4.7GHz Max Turbo), LGA 2066 - BX8069510900X",Intel,Core i9-10900X Cascade Lake,19.25MB,3.7GHz (4.7GHz Max Turbo),LGA 2066
111,KB-PR-111,BX80662G4400,Kabum,"Processador Intel Pentium G4400 Skylake, Cache 3MB, 3.3Ghz, LGA 1151 - BX80662G4400",Intel,Pentium G4400 Skylake,3MB,3.3Ghz,LGA 1151
114,KB-PR-114,BX806849900K,Kabum,"Processador Intel Core i9-9900K, 3.6Ghz, 16MB Cache, LGA 1151 - BX806849900K",Intel,Core i9-9900K,16MB,3.6Ghz,LGA 1151
115,KB-PR-115,YD2400C5FBBOX,Kabum,"Processador AMD Ryzen 5 2400G, Cooler Wraith Stealth, Cache 6MB, 3.6GHz (3.9GHz Max Turbo), AM4 - YD2400C5FBBOX",Amd,Ryzen 5 2400G,6MB,3.6GHz (3.9GHz Max Turbo),AM4
116,KB-PR-116,100-100000063WOF,Kabum,"Processador AMD Ryzen 7 5800X, Cache 36MB, 3.8GHz (4.7GHz Max Turbo), AM4 - 100-100000063WOF",Amd,Ryzen 7 5800X,36MB,3.8GHz (4.7GHz Max Turbo),AM4
117,KB-PR-117,BX80701G5905,Kabum,"Processador Intel Celeron G5905, Cache 4MB, 3.50 GHz, LGA 1200 - BX80701G5905",Intel,Celeron G5905,4MB,3.50 GHz,LGA 1200
118,KB-PR-118,BX80684G5420,Kabum,"Processador Intel Pentium Gold, 8ª Geração Coffee Lake, Cache 4MB, 3.80GHz, LGA 1151 - BX80684G5420",Intel,Pentium Gold,4MB,3.80GHz,LGA 1151
