id,code,sku,site,descricao,marca,modelo,cache,frequencia,socket
23,KB-PR-23,BX8070110700K,Kabum,"Processador Intel Core i7-10700K, Cache 16MB, 3.8GHz (5.1GHz Max Turbo), LGA 1200 - BX8070110700K",Intel,Core i7-10700K,16MB,3.8GHz (5.1GHz Max Turbo),LGA 1200
24,KB-PR-24,BX80684I99900K,Kabum,"Processador Intel Core i9-9900k Coffee Lake Refresh 9a Geração, Cache 16MB, 3.6GHz (5.0GHz Max Turbo), LGA 1151 - BX80684I99900K",Intel,Core i9-9900k Coffee Lake Refresh 9a Geração,16MB,3.6GHz (5.0GHz Max Turbo),LGA 1151
25,KB-PR-25,BX80673I99920X,Kabum,"Processador Intel Core i9-9920X Skylake, Cache 19.25MB, 3.5GHz (4.4GHz Max Turbo), LGA 2066 - BX80673I99920X",Intel,Core i9-9920X Skylake,19.25MB,3.5GHz (4.4GHz Max Turbo),LGA 2066
26,KB-PR-26,BX8070110900,Kabum,"Processador Intel Core i9-10900, Cache 20MB, 2.8GHz, LGA 1200 - BX8070110900",Intel,Core i9-10900,20MB,2.8GHz,LGA 1200
27,KB-PR-27,BX8070110400,Kabum,"Processador Intel Core i5-10400, Cache 12MB, 2.9GHz (4.3GHz Max Turbo), LGA 1200 - BX8070110400",Intel,Core i5-10400,12MB,2.9GHz (4.3GHz Max Turbo),LGA 1200
28,KB-PR-28,BX8070110850KA,Kabum,"Processador Intel Core i9-10850K Marvel´s Avengers Collector´s Edition Packaging, Cache 20MB 3.6GHz (5.2GHz Max Turbo), LGA1200 - BX8070110850KA",Intel,Core i9-10850K Marvel´s Avengers Collector´s Edition Packaging,20MB,3.6GHz (5.2GHz Max Turbo),LGA1200
29,KB-PR-29,BX80684I39100F,Kabum,"Processador Intel Core i3-9100F Coffee Lake, Cache 6MB, 3.6GHz (4.2GHz Max Turbo), LGA 1151, Sem Vídeo - BX80684I39100F",Intel,Core i3-9100F Coffee Lake,6MB,3.6GHz (4.2GHz Max Turbo),LGA 1151
30,KB-PR-30,BX80684I79700K,Kabum,"Processador Intel Core i7-9700K Coffee Lake Refresh, Cache 12MB, 3.6GHz (4.9GHz Max Turbo), LGA 1151 - BX80684I79700K",Intel,Core i7-9700K Coffee Lake Refresh,12MB,3.6GHz (4.9GHz Max Turbo),LGA 1151
31,KB-PR-31,BX80673I79800X,Kabum,"Processador Intel Core i7-9800X Skylake, Cache 16.5MB, 3.8GHz (4.5Ghz Max Turbo), LGA 2066 - BX80673I79800X",Intel,Core i7-9800X Skylake,16.5MB,3.8GHz (4.5Ghz Max Turbo),LGA 2066
32,KB-PR-32,BX8070110700KF,Kabum,"Processador Intel Core i7-10700KF, Cache 16MB, 3.8GHz (5.1GHz Max Turbo), LGA 1200 - BX8070110700KF",Intel,Core i7-10700KF,16MB,3.8GHz (5.1GHz Max Turbo),LGA 1200
33,KB-PR-33,BX80684I99900KF,Kabum,"Processador Intel Core i9-9900KF Coffee Lake Refresh, Geração, Cache 16MB, 3.6GHz (5.0GHz Max Turbo), LGA 1151, Sem Vídeo - BX80684I99900KF",Intel,Core i9-9900KF Coffee Lake Refresh,16MB,3.6GHz (5.0GHz Max Turbo),LGA 1151
112,KB-PR-112,BX8070110100F,Kabum,"Processador Intel Core i3-10100F, Cache 6MB, 4.30 GHz, LGA 1200 - BX8070110100F",Intel,Core i3-10100F,6MB,4.30 GHz,LGA 1200
34,KB-PR-34,BX80684I59600K,Kabum,"Processador Intel Core i5-9600K Coffee Lake Refresh, Cache 9MB, 3.7GHz (4.6GHz Max Turbo), LGA 1151 - BX80684I59600K",Intel,Core i5-9600K Coffee Lake Refresh,9MB,3.7GHz (4.6GHz Max Turbo),LGA 1151
35,KB-PR-35,BX8070110900F,Kabum,"Processador Intel Core i9-10900F, Cache 20MB, 2.8GHz (5.2GHz Max Turbo), LGA 1200 - BX8070110900F",Intel,Core i9-10900F,20MB,2.8GHz (5.2GHz Max Turbo),LGA 1200
36,KB-PR-36,BX8070110400F,Kabum,"Processador Intel Core i5-10400F, Cache 12MB, 2.9GHz (4.3GHz Max Turbo), LGA 1200 - BX8070110400F",Intel,Core i5-10400F,12MB,2.9GHz (4.3GHz Max Turbo),LGA 1200
37,KB-PR-37,BX8070110900KA,Kabum,"Processador Intel Core i9-10900K Marvel´s Avengers Collector´s Edition Packaging, Cache 20MB, 5.3GHz, LGA1200 - BX8070110900KA",Intel,Core i9-10900K Marvel´s Avengers Collector´s Edition Packaging,20MB,5.3GHz,LGA1200
