id,code,sku,site,descricao,marca,potencia
202,KB-FT-202,NaN,Kabum,"Fonte Seasonic 700W, 80 Plus Bronze",Seasonic,700W
203,KB-FT-203,NaN,Kabum,"Fonte Sharkoon SilentStorm Cool Zero, 650W, 80 Plus Gold, Modular - SilentStorm CoolZero 650W",Sharkoon,650W
204,KB-FT-204,CoolZero,Kabum,"Fonte Sharkoon 750W, 80 Plus Gold, Modular, SilentStorm CoolZero",Sharkoon,750W
205,KB-FT-205,NaN,Kabum,"Fonte Sharkoon WPM Gold Zero, 650W, 80 Plus Gold, Semi-Modular",Sharkoon,650W
206,KB-FT-206,NaN,Kabum,"Fonte Sharkoon WPM Gold Zero, 550W, 80 Plus Gold, Semi-Modular",Sharkoon,550W
207,KB-FT-207,NaN,Kabum,"Fonte Sharkoon WPM Gold Zero, 750W, 80 Plus Gold, Semi-Modular",Sharkoon,750W
208,KB-FT-208,CoolZero,Kabum,"Fonte Sharkoon 850W, 80 Plus Gold, Modular, SilentStorm CoolZero",Sharkoon,850W
209,KB-FT-209,NaN,Kabum,"Fonte Sharkoon SHP Bronze 600W, 80 Plus Bronze- SHP BRONZE 600W",Sharkoon,600W
210,KB-FT-210,NaN,Kabum,"Fonte Sharkoon SHP Bronze 500W, 80 Plus Bronze - SHP BRONZE 500W",Sharkoon,500W
211,KB-FT-211,ATX,Kabum,Fonte Sharkoon WPM700 Bronze BR 700W ATX,Sharkoon,700W
212,KB-FT-212,PS-SPD-0500NPCW,Kabum,Fonte Thermaltake 500W 80 Plus White Smart Series - PS-SPD-0500NPCW,Thermaltake,500W
213,KB-FT-213,PS-SPD-0700NPCW,Kabum,Fonte Thermaltake 700W 80 Plus White Smart Series - PS-SPD-0700NPCW,Thermaltake,700W
214,KB-FT-214,PS-SPD-0600NPCW,Kabum,Fonte Thermaltake 600W 80 Plus White Smart Series - PS-SPD-0600NPCW,Thermaltake,600W
215,KB-FT-215,PS-SPD-0650NNFABB-1,Kabum,"Fonte Thermaltake TT Smart BX1, 650W, 80 Plus Bronze - PS-SPD-0650NNFABB-1",Thermaltake,650W
216,KB-FT-216,PS-SPD-0550NNFABB-1,Kabum,"Fonte Thermaltake TT Smart BX1, 550W, 80 Plus Bronze - PS-SPD-0550NNFABB-1",Thermaltake,550W
217,KB-FT-217,PS-SPR-0700NHFAWB-1,Kabum,Fonte Thermaltake 700W 80 Plus White RGB Smart PS-SPR-0700NHFAWB-1,Thermaltake,700W
218,KB-FT-218,PS-SPD-0750NNFABB-1,Kabum,"Fonte Thermaltake Smart BX1, 750W, 80 Plus Bronze - PS-SPD-0750NNFABB-1",Thermaltake,750W
219,KB-FT-219,PS-SPR-0650FPCBUS-R,Kabum,Fonte Thermaltake 650W 80 Plus Bronze - PS-SPR-0650FPCBUS-R,Thermaltake,650W
220,KB-FT-220,VFS230,Kabum,"Fonte Vinik Slim SFX, 230W - VFS230",Vinik,230W
221,KB-FT-221,P1-650G-TS3X,Kabum,Fonte XFX 650W TS 80 Plus Gold P1-650G-TS3X,XFX,650W
222,KB-FT-222,NaN,Kabum,"Fonte XPG Core Reactor, 650W, 80 Plus Gold Modular",XPG,650W
223,KB-FT-223,NaN,Kabum,"Fonte XPG Core Reactor, 850W, 80 Plus Gold Modular",XPG,850W
224,KB-FT-224,TRS/7400-B,Kabum,"Fonte Tronos Real 750W, Bivolt - TRS/7400-B",Tronos,750W
225,KB-FT-225,MPE-6501-ACAAB-BR,Kabum,"Fonte Cooler Master MWE Bronze V2 650W, 80 Plus Bronze - MPE-6501-ACAAB-BR",Cooler Master,650W
226,KB-FT-226,MPX-5501-ACAAB,Kabum,Fonte Cooler Master 550W 80 Plus Bronze MWE - MPX-5501-ACAAB,Cooler Master,550W
227,KB-FT-227,MPE-5501-ACAAB-BR,Kabum,"Fonte Cooler Master MWE Bronze V2 550W, 80 Plus Bronze - MPE-5501-ACAAB-BR",Cooler Master,550W
228,KB-FT-228,AG-750M,Kabum,"Fonte Apexgaming Power Supply, 750W, 80 Plus Gold, Modular - AG-750M",Apexgaming,750W
229,KB-FT-229,AG-850M,Kabum,"Fonte Apexgaming Power Supply, 850W, 80 Plus Gold, Modular - AG-850M",Apexgaming,850W
230,KB-FT-230,1200,Kabum,"Fonte De Alimentação Cftv Ac/Dc 12V 0,5A - Ef 1200 Fonte De Alimentação Cftv Ac/Dc 12V 0.5A - Ef 1200",Intelbras,NaN
231,KB-FT-231,GA350,Kabum,Fonte de Alimentação Multilaser 350W - GA350,Multilaser,350W
232,KB-FT-232,SFX-300W-BR5,Kabum,Fonte Spire ATX Mini ITX 300W SFX-300W-BR5,Spire,300W
233,KB-FT-233,BLU400R-80E,Kabum,"Fonte Bluecase 400W, 80 Plus White, Com Cabo - BLU400R-80E",Bluecase,400W
234,KB-FT-234,AG-650M,Kabum,"Fonte Apexgaming Power Supply, 650W, 80 Plus Gold, Modular - AG-650M",Apexgaming,650W
235,KB-FT-235,STG-650,Kabum,"Fonte Apexgaming Power Supply, 650W, 80 Plus Gold - STG-650",Apexgaming,650W
236,KB-FT-236,PS-G700M,Kabum,"Fonte C3Tech ATX, 700W, 80 Plus White - PS-G700M",C3 tech,700W
237,KB-FT-237,MPW-4001-ACAAN1,Kabum,Fonte Cooler Master 400W Elite V3 - MPW-4001-ACAAN1,Cooler Master,400W
238,KB-FT-238,MPY-7501-ACAAG,Kabum,"Fonte Cooler Master MWE 750W, 80 Plus Gold - MPY-7501-ACAAG",Cooler Master,750W
239,KB-FT-239,MPY-6501-AFAAG,Kabum,"Fonte Cooler Master MWE 650W, 80 Plus Gold, Modular - MPY-6501-AFAAG",Cooler Master,650W
240,KB-FT-240,Pxsp500wpt,Kabum,"Fonte PCyes ATX Spark, 500W - Pxsp500wpt",PCYes,500W
241,KB-FT-241,PS-TPD-0750F3FAGB-1,Kabum,"Fonte Thermaltake TT Toughpower GF1 ARGB Fully, 750W, 80 Plus Gold Modular - PS-TPD-0750F3FAGB-1",Thermaltake,750W
255,KB-FT-255,FT251BRA,Kabum,"Fonte Raptor, 500W, 80 Plus Bronze - FT251BRA",Raptor,500W
242,KB-FT-242,PS-TPD-0650FNFAGB-1,Kabum,"Fonte Thermaltake TT Toughpower GF1 Fully, 650W, 80 Plus Gold, Modular - PS-TPD-0650FNFAGB-1",Thermaltake,650W
243,KB-FT-243,PS-TPD-0850F3FAGB-1,Kabum,"Fonte Thermaltake TT Toughpower GF1 ARGB Fully, 850W, 80 Plus Gold, Modular - PS-TPD-0850F3FAGB-1",Thermaltake,850W
244,KB-FT-244,PS-TPD-0650F3FAGB-1,Kabum,"Fonte Thermaltake TT Toughpower GF1 ARGB Fully, 650W, 80 Plus Gold, Modular - PS-TPD-0650F3FAGB-1",Thermaltake,650W
245,KB-FT-245,PS-TPD-0850FNFAGB-1,Kabum,"Fonte Thermaltake TT Toughpower GF1 Fully, 850W, 80 Plus Gold, Modular - PS-TPD-0850FNFAGB-1",Thermaltake,850W
246,KB-FT-246,MPY-850V-AGBAG-WO,Kabum,"Fonte Cooler Master V Gold V2 White Edition, 850W, 80 Plus Gold, Modular, Branco - MPY-850V-AGBAG-WO",Cooler Master,850W
247,KB-FT-247,MPY-750V-AGBAG-WO,Kabum,"Fonte Cooler Master V Gold V2 White Edition, 750W, 80 Plus Gold, Modular, Branco - MPY-750V-AGBAG-WO",Cooler Master,750W
248,KB-FT-248,MPY-850V-AFBAG-WO,Kabum,"Fonte Cooler Master V Gold V2, 850W, 80 Plus Gold, Modular - MPY-850V-AFBAG-WO",Cooler Master,850W
249,KB-FT-249,MPY-750V-AFBAG-WO,Kabum,"Fonte Cooler Master V Gold V2, 750W, 80 Plus Gold, Modular - MPY-750V-AFBAG-WO",Cooler Master,750W
250,KB-FT-250,31VE060.0005P,Kabum,"Fonte Cougar Gaming VTE 600W, 80Plus Bronze, PFC Ativo - 31VE060.0005P",Cougar,600W
251,KB-FT-251,GC-PS001-1,Kabum,"Fonte Redragon RGPS, 500W, 80 Plus - GC-PS001-1",Redragon,500W
252,KB-FT-252,GC-PS002-1,Kabum,"Fonte Redragon RGPS, 600W, 80 Plus - GC-PS002-1",Redragon,600W
253,KB-FT-253,GC-PS005-1,Kabum,"Fonte Redragon RGPS, 700W, 80 Plus Bronze, Modular - GC-PS005-1",Redragon,700W
254,KB-FT-254,P1-0650-XTR2,Kabum,Fonte XFX XTR2 Série 650W 80 Plus Gold Modular - P1-0650-XTR2,XFX,650W
256,KB-FT-256,B700H,Kabum,Fonte Gigabyte 700W 80 Plus Bronze Semi Modular - B700H,Gigabyte,700W
257,KB-FT-257,MPX-7501-AMAAB,Kabum,Fonte Cooler Master 750W 80 Plus Bronze Semi-Modular MasterWatt - MPX-7501-AMAAB,Cooler Master,750W
258,KB-FT-258,MPX-5501-AMAAB,Kabum,Fonte Cooler Master 550W 80 Plus Bronze Semi-Modular MasterWatt - MPX-5501-AMAAB,Cooler Master,550W
259,KB-FT-259,MPX-6501-AMAAB-OF,Kabum,"Fonte Cooler Master MasterWatt 650 TUF Gaming Edition, 650W, 80 Plus Bronze, Semi Modular - MPX-6501-AMAAB-OF",Cooler Master,650W
260,KB-FT-260,MPE-7501-ACAAB-BR,Kabum,"Fonte Cooler Master MWE Bronze, 750W, 80 Plus Bronze - MPE-7501-ACAAB-BR",Cooler Master,750W
261,KB-FT-261,CP-9020123-WW,Kabum,"Fonte ATX Corsair CX 750W, 80 Plus Bronze CP-9020123-WW",Corsair,750W
262,KB-FT-262,GM500W,Kabum,"Fonte Gamemax GM500W, 500W, Branca - GM500W",Gamemax,500W
263,KB-FT-263,NaN,Kabum,"Fonte Gamer Ktrok 500w Real Pfc Ativo 80 Plus, Bronze",Ktrok,500w
264,KB-FT-264,PYLON450B-BKCBR,Kabum,Fonte XPG 450W - PYLON450B-BKCBR,XPG,450W
265,KB-FT-265,KCAS-600W,Kabum,Fonte Aerocool ATX 600W 80 Plus Bronze Full Range KCAS-600W,Aerocool,600W
266,KB-FT-266,Cabo,Kabum,"Fonte ATX Aerocool 600W KCAS 80Plus, Bronze, Bivolt, FAN 120mm, Sem Cabo",Aerocool,600W
267,KB-FT-267,90YE00A1-B0BA00,Kabum,"Fonte Asus ROG-STRIX-650G, 650W, 80 Plus Gold, Full Modular - 90YE00A1-B0BA00",Asus,650W
268,KB-FT-268,90YE00A0-B0BA00,Kabum,"Fonte Asus ROG-STRIX-750G, 750W, 80 Plus Gold, Full Modular - 90YE00A0-B0BA00",Asus,750W
269,KB-FT-269,90YE00A2-B0BA00,Kabum,"Fonte Asus ROG-STRIX-550G, 550W, 80 Plus Gold, Full Modular - 90YE00A2-B0BA00",Asus,550W
270,KB-FT-270,90YE00H1-B0BA00,Kabum,"Fonte Asus ROG-THOR-850P, 850W, 80 Plus Platinum, Full Modular, RGB - 90YE00H1-B0BA00",Asus,850W
271,KB-FT-271,90YE00D0-B0BA00,Kabum,"Fonte Asus TUF-GAMING-750B, 750W, 80 Plus Bronze - 90YE00D0-B0BA00",Asus,750W
272,KB-FT-272,90YE00D2-B0BA00,Kabum,"Fonte Asus TUF-GAMING-550B, 550W, 80 Plus Bronze - 90YE00D2-B0BA00",Asus,550W
273,KB-FT-273,BLU230ESCASE,Kabum,"Fonte Bluecase BLU230-EATX Small, 230W, Com Cabo - BLU230ESCASE",Bluecase,230W
274,KB-FT-274,AMAAB-WO,Kabum,Fonte Cooler Master 650W 80 Plus Bronze Semi-Modular MW - MPX-6501- AMAAB-WO,Cooler Master,650W
275,KB-FT-275,MPE-7501-ACAAB-WO,Kabum,"Fonte Cooler Master MWE V2, 750W, 80 Plus Bronze - MPE-7501-ACAAB-WO",Cooler Master,750W
276,KB-FT-276,MPE-5501-ACAAB-WO,Kabum,"Fonte Cooler Master MWE V2, 550W, 80 Plus Bronze - MPE-5501-ACAAB-WO",Cooler Master,550W
277,KB-FT-277,MPE-4501-ACAAB-WO,Kabum,"Fonte Cooler Master MWE V2, 450W, 80 Plus Bronze - MPE-4501-ACAAB-WO",Cooler Master,450W
278,KB-FT-278,MPE-6501-ACAAB-WO,Kabum,"Fonte Cooler Master MWE V2, 650W, 80 Plus Bronze - MPE-6501-ACAAB-WO",Cooler Master,650W
279,KB-FT-279,MPX-7501-AMAAB-WO,Kabum,"Fonte Cooler Masterwatt, 750W, 80 Plus Bronze, Semi Modular - MPX-7501-AMAAB-WO",Cooler Master,750W
280,KB-FT-280,MPX-5501-AMAAB-WO,Kabum,"Fonte Cooler Masterwatt, 550W, 80 Plus Bronze, Semi Modular - MPX-5501-AMAAB-WO",Cooler Master,550W
281,KB-FT-281,CP-9020218-BR,Kabum,"Fonte Corsair CX750F, 750W, 80 Plus Bronze, Totalmente Modular, RGB - CP-9020218-BR",Corsair,750W
282,KB-FT-282,CP-9020117-LA,Kabum,"Fonte Gamer ATX, Corsair VS400 400W 80 Plus White, Bivolt, PFC Ativo - CP-9020117-LA",Corsair,400W
283,KB-FT-283,CP-9020216-BR,Kabum,"Fonte Corsair CX550F, 550W, 80 Plus Bronze, Totalmente Modular, RGB - CP-9020216-BR",Corsair,550W
284,KB-FT-284,CP-9020236-BR,Kabum,"Fonte Corsair CV650, 650W, 80 Plus Bronze - CP-9020236-BR",Corsair,650W
285,KB-FT-285,CP-9020120-WW,Kabum,Fonte ATX Corsair CX 450W 80 Plus Bronze - CP-9020120-WW,Corsair,450W
286,KB-FT-286,CP-9020217-BR,Kabum,"Fonte Corsair CX650F, 650W, 80 Plus Bronze, Totalmente Modular, RGB - CP-9020217-BR",Corsair,650W
287,KB-FT-287,EP-C650W,Kabum,Fonte Epic Power 650W - EP-C650W,Epic Power,650W
288,KB-FT-288,220-G5-1000-X,Kabum,"Fonte EVGA SuperNOVA 1000 G5, 1000W, 80 Plus Gold, Modular - 220-G5-1000-X",Evga,1000W
289,KB-FT-289,220-G5-0650-X,Kabum,"Fonte EVGA SuperNOVA 650 G5, 650W, 80 Plus Gold, Modular - 220-G5-0650-X",Evga,650W
290,KB-FT-290,110-BQ-0700-V0,Kabum,"Fonte EVGA 700 BQ, 700W, 80 Plus Bronze, Semi Modular - 110-BQ-0700-V0",Evga,700W
291,KB-FT-291,BRONZE-500W,Kabum,"Fonte Gamer EVUS EVG500, 500W, 80Plus Bronze, PFC Ativo, Bivolt, RGB, Preto - BRONZE-500W",Evus,500W
292,KB-FT-292,70458,Kabum,"Fonte ATX Fortrek Black Hawk 400W, 80 Plus White, Bivolt, Preto - 70458",Fortrek,400W
293,KB-FT-293,70459,Kabum,"Fonte ATX Fortrek Black Hawk 500W, 80 Plus Bronze, PFC Ativo, Bivolt, Preto - 70459",Fortrek,500W
294,KB-FT-294,70457,Kabum,"Fonte ATX Fortrek Crusader 300W, Bivolt, Preto - 70457",Fortrek,300W
295,KB-FT-295,M1-600B,Kabum,"Fonte Gamdias, 600W, 80 Plus Bronze, RGB - KRATOS M1-600B",Gamdias,600W
296,KB-FT-296,M1-750B,Kabum,"Fonte Gamdias, 750W, 80 Plus Bronze, RGB - KRATOS M1-750B",Gamdias,750W
297,KB-FT-297,PSU-HSN-650,Kabum,"Fonte Husky Snow 650W, 80 Plus White - PSU-HSN-650",Husky Gaming,650W
298,KB-FT-298,PSU-HSN-500,Kabum,"Fonte Husky Snow 500W, 80 Plus White - PSU-HSN-500",Husky Gaming,500W
299,KB-FT-299,PSU-HSN-550,Kabum,"Fonte Husky Snow 550W, 80 Plus White - PSU-HSN-550",Husky Gaming,550W
300,KB-FT-300,PSU-HSN-450,Kabum,"Fonte Husky Snow 450W, 80 Plus White - PSU-HSN-450",Husky Gaming,450W
301,KB-FT-301,PSU-HSN-400,Kabum,"Fonte Husky Snow 400W, 80 Plus White - PSU-HSN-400",Husky Gaming,400W
302,KB-FT-302,Bivolt,Kabum,"Fonte Gamer KTROK KT-FT, 500W, 80 Plus Bronze, Bivolt",Ktrok,500W
303,KB-FT-303,Bivolt,Kabum,"Fonte Gamer KTROK KT-FT-RGB, 500W, 80 Plus Bronze, RGB, Bivolt",Ktrok,500W
304,KB-FT-304,NXHUMMER750GD,Kabum,Fonte NOX 750W 80 Plus Gold Hummer NXHUMMER750GD,NOX,750W
305,KB-FT-305,NXHUMMERX650GD,Kabum,"Fonte Nox Hummer X, 650W, 80 Plus Gold, Modular - NXHUMMERX650GD",NOX,650W
306,KB-FT-306,NXHUMMERX700WBZ,Kabum,Fonte Nox 700W 80 Plus Bronze Semi-Modular Hummer X - NXHUMMERX700WBZ,NOX,700W
307,KB-FT-307,ELECV2PTO550W,Kabum,"Fonte PCYes Electro V2 550W, 80 Plus Bronze - ELECV2PTO550W",PCYes,550W
308,KB-FT-308,ELV2WHPTO500W,Kabum,"Fonte PCYes Electro V2 500W, 80 Plus White - ELV2WHPTO500W",PCYes,500W
309,KB-FT-309,ELECV2PTO650W,Kabum,"Fonte PCYes Electro V2 650W, 80 Plus Bronze - ELECV2PTO650W",PCYes,650W
310,KB-FT-310,ELV2WHPTO400W,Kabum,Fonte PCYes 400W 80 Plus White - ELV2WHPTO400W,PCYes,400W
311,KB-FT-311,ELV2WHPTO600W,Kabum,"Fonte PCYes Electro V2 600W, 80 Plus White - ELV2WHPTO600W",PCYes,600W
312,KB-FT-312,GC-PS003-1,Kabum,"Fonte Redragon RGPS, 600W, 80 Plus Bronze, Modular - GC-PS003-1",Redragon,600W
313,KB-FT-313,T-TPS202,Kabum,"Fonte T-DAGGER, 600W, Bivolt, Preto - T-TPS202",T-DAGGER,600W
314,KB-FT-314,Bivolt,Kabum,"Fonte ATX Tronos TRS/5330-B, 500W, Real, Bivolt",Tronos,500W
315,KB-FT-315,NaN,Kabum,"Fonte XPG Pylon, 550W, 80 Plus Bronze",XPG,550W
316,KB-FT-316,NaN,Kabum,"Fonte XPG Pylon, 650W, 80 Plus Bronze",XPG,650W
317,KB-FT-317,NaN,Kabum,"Fonte XPG Pylon, 750W, 80 Plus Bronze",XPG,750W
318,KB-FT-318,90YE00H0-B0BA00,Kabum,"Fonte Asus ROG-THOR-1200P, 1200W, 80 Plus Platinum, Full Modular, RGB - 90YE00H0-B0BA00",Asus,1200W
319,KB-FT-319,UP-S400,Kabum,Fonte BR One 400W BRX - UP-S400,BR One,400W
320,KB-FT-320,MPZ-D001-AFBAPV,Kabum,"Fonte Cooler Master V1300 Platinum, 1300W, 80 Plus Platinum, Modular - MPZ-D001-AFBAPV",Cooler Master,1300W
321,KB-FT-321,220-B3-0750-V,Kabum,Fonte EVGA 750W 80 Plus Bronze Modular - 220-B3-0750-V,Evga,750W
322,KB-FT-322,Preto,Kabum,"Fonte ATX Power Station PS-500 500W, Bivolt, Preto",Power Station,500W
323,KB-FT-323,SS-300TFX,Kabum,"Fonte TFX Seasonic 300W 80 Plus Bronze, PFC Ativo, Slim, Bivolt Automático - SS-300TFX",Seasonic,300W
324,KB-FT-324,Bivolt,Kabum,"Fonte Brazil PC Tronos BPC-325V1.2, 350W Real, Bivolt",Tronos,350W
325,KB-FT-325,Bivolt,Kabum,"Fonte Gamer ATX Tronos TRS/500PFCA, 500W Real, Bivolt",Tronos,500W
326,KB-FT-326,BLU350ECASE,Kabum,"Fonte Bluecase Blu 350-E ATX, 350W com Cabo - BLU350ECASE",Bluecase,350W
