id,code,sku,site,descricao,marca,potencia
43,KB-FT-43,CP-9020131,Kabum,Fonte Corsair 750W 80 Plus Gold Semi Modular TX750M CP-9020131,Corsair,750W
44,KB-FT-44,CP-9020104-WW,Kabum,Fonte Corsair 450W 80 Plus Gold CP-9020104-WW,Corsair,450W
45,KB-FT-45,31BX070006P01,Kabum,"Fonte Cougar BXM 700W, 80 Plus Bronze, Semi-Modular - 31BX070006P01",Cougar,700W
46,KB-FT-46,BS-600,Kabum,Fonte Cougar 600W 80 Plus Bronze VTE - CGR BS-600,Cougar,600W
47,KB-FT-47,BS-500,Kabum,Fonte Cougar 500W 80 Plus Bronze VTE - CGR BS-500,Cougar,500W
48,KB-FT-48,31VC050006P01,Kabum,Fonte Cougar VTC500 500W 80 Plus White - 31VC050006P01,Cougar,500W
49,KB-FT-49,31BX085005P01,Kabum,"Fonte Cougar BXM850, 850W, 80 PLUS Bronze, Semi Modular - 31BX085005P01",Cougar,850W
50,KB-FT-50,31VC060004P01,Kabum,"Fonte Cougar VTC600, 600W, 80 Plus - 31VC060004P01",Cougar,600W
51,KB-FT-51,DA700,Kabum,"Fonte DeepCool DA700, 700W, 80 Plus Bronze - DA700",Deepcool,700W
52,KB-FT-52,110-BQ-0650-V,Kabum,Fonte EVGA 650W 80 Plus Bronze Semi Modular 110-BQ-0650-V,Evga,650W
53,KB-FT-53,100-N1-0550-L,Kabum,Fonte EVGA 550W 100-N1-0550-L,Evga,550W
54,KB-FT-54,220-GA-0850-X,Kabum,"Fonte EVGA SuperNOVA 850 GA, 850W, 80 Plus Gold, Modular - 220-GA-0850-X",Evga,850W
55,KB-FT-55,100-GD-0700-V,Kabum,"Fonte EVGA 700 GD, 700W, 80 Plus Gold - 100-GD-0700-V",Evga,700W
56,KB-FT-56,220-G5-0750-X,Kabum,"Fonte EVGA SuperNOVA 750 G5, 750W, 80 Plus Gold, Modular - 220-G5-0750-X",Evga,750W
57,KB-FT-57,210-GQ-0850-V,Kabum,Fonte EVGA 850W 80 Plus Gold Semi Modular Modo ECO 210-GQ-0850-V,Evga,850W
58,KB-FT-58,220-B5-0850-V,Kabum,"Fonte EVGA 850 B5, 850W, 80 Plus Bronze, Modular - 220-B5-0850-V",Evga,850W
59,KB-FT-59,220-B5-0650-V,Kabum,"Fonte EVGA 650 B5, 650W, 80 Plus Bronze, Modular - 220-B5-0650-V",Evga,650W
60,KB-FT-60,110-BQ-0750-V,Kabum,"Fonte EVGA 750W 80 Plus Bronze, Semi Modular, PFC Ativo - 110-BQ-0750-V",Evga,750W
61,KB-FT-61,110-BQ-0600-K,Kabum,Fonte EVGA 600W 80 Plus Bronze PFC Ativo - 110-BQ-0600-K,Evga,600W
62,KB-FT-62,100-BR-0500-K,Kabum,"Fonte EVGA 500W, 80 Plus Bronze - 100-BR-0500-K",Evga,500W
63,KB-FT-63,100-N1-0400-L,Kabum,Fonte EVGA 400W 100-N1-0400-L,Evga,400W
64,KB-FT-64,100-BR-0600-K,Kabum,"Fonte EVGA 600W, 80 Plus Bronze - 100-BR-0600-K",Evga,600W
65,KB-FT-65,220-GA-0750-X,Kabum,"Fonte EVGA SuperNOVA 750 GA, 750W, 80 Plus Gold, Modular - 220-GA-0750-X",Evga,750W
66,KB-FT-66,100-GD-0600-V,Kabum,"Fonte EVGA 600 GD, 600W, 80 Plus Gold - 100-GD-0600-V",Evga,600W
67,KB-FT-67,110-BQ-0850-V,Kabum,Fonte EVGA 850W 80 Plus Bronze Semi Modular 110-BQ-0850-V,Evga,850W
68,KB-FT-68,210-GQ-0750-V,Kabum,Fonte EVGA 750W 80 Plus Gold Semi Modular Modo ECO 210-GQ-0750-V,Evga,750W
69,KB-FT-69,100-BR-0700-K,Kabum,"Fonte EVGA 700W, 80 Plus Bronze - 100-BR-0700-K",Evga,700W
