,code,cartao,boleto,data
125,KB-FT-125,2941.06,2499.9,2020-11-19
126,KB-FT-126,2099.9,2099.9,2020-11-19
127,KB-FT-127,1294.0,1099.9,2020-11-19
128,KB-FT-128,1411.65,1199.9,2020-11-19
129,KB-FT-129,470.47,399.9,2020-11-19
130,KB-FT-130,2352.82,1999.9,2020-11-19
131,KB-FT-131,1411.65,1199.9,2020-11-19
132,KB-FT-132,1176.35,999.9,2020-11-19
133,KB-FT-133,4764.59,4049.9,2020-11-19
134,KB-FT-134,2941.06,2499.9,2020-11-19
135,KB-FT-135,458.71,389.9,2020-11-19
136,KB-FT-136,799.88,679.9,2020-11-19
137,KB-FT-137,799.9,799.9,2020-11-19
138,KB-FT-138,823.41,699.9,2020-11-19
139,KB-FT-139,2941.06,2499.9,2020-11-19
140,KB-FT-140,529.29,449.9,2020-11-19
141,KB-FT-141,2235.18,1899.9,2020-11-19
142,KB-FT-142,1764.59,1499.9,2020-11-19
143,KB-FT-143,1411.65,1199.9,2020-11-19
144,KB-FT-144,588.12,499.9,2020-11-19
145,KB-FT-145,541.06,459.9,2020-11-19
146,KB-FT-146,2352.82,1999.9,2020-11-19
147,KB-FT-147,999.88,849.9,2020-11-19
148,KB-FT-148,1705.76,1449.9,2020-11-19
149,KB-FT-149,999.88,849.9,2020-11-19
150,KB-FT-150,941.06,799.9,2020-11-19
151,KB-FT-151,705.76,599.9,2020-11-19
152,KB-FT-152,1105.76,939.9,2020-11-19
153,KB-FT-153,1294.0,1099.9,2020-11-19
154,KB-FT-154,1646.94,1399.9,2020-11-19
155,KB-FT-155,2117.53,1799.9,2020-11-19
156,KB-FT-156,1176.35,999.9,2020-11-19
157,KB-FT-157,417.53,354.9,2020-11-19
158,KB-FT-158,623.41,529.9,2020-11-19
159,KB-FT-159,211.65,179.9,2020-11-19
160,KB-FT-160,646.94,549.9,2020-11-19
161,KB-FT-161,846.94,719.9,2020-11-19
162,KB-FT-162,941.05,799.89,2020-11-19
163,KB-FT-163,75.18,63.9,2020-11-19
164,KB-FT-164,352.82,299.9,2020-11-19
165,KB-FT-165,999.88,849.9,2020-11-19
166,KB-FT-166,588.12,499.9,2020-11-19
167,KB-FT-167,529.29,449.9,2020-11-19
168,KB-FT-168,399.88,339.9,2020-11-19
169,KB-FT-169,411.65,349.9,2020-11-19
170,KB-FT-170,465.76,395.9,2020-11-19
171,KB-FT-171,858.71,729.9,2020-11-19
172,KB-FT-172,458.71,389.9,2020-11-19
173,KB-FT-173,1411.65,1199.9,2020-11-19
174,KB-FT-174,388.12,329.9,2020-11-19
175,KB-FT-175,375.42,319.11,2020-11-19
176,KB-FT-176,199.88,169.9,2020-11-19
177,KB-FT-177,90.47,76.9,2020-11-19
178,KB-FT-178,411.65,349.9,2020-11-19
179,KB-FT-179,152.82,129.9,2020-11-19
180,KB-FT-180,341.06,289.9,2020-11-19
181,KB-FT-181,399.88,339.9,2020-11-19
182,KB-FT-182,470.47,399.9,2020-11-19
183,KB-FT-183,117.53,99.9,2020-11-19
184,KB-FT-184,505.76,429.9,2020-11-19
185,KB-FT-185,470.47,399.9,2020-11-19
186,KB-FT-186,941.06,799.9,2020-11-19
187,KB-FT-187,362.24,307.9,2020-11-19
188,KB-FT-188,588.12,499.9,2020-11-19
189,KB-FT-189,514.0,436.9,2020-11-19
190,KB-FT-190,1764.59,1499.9,2020-11-19
191,KB-FT-191,223.41,189.9,2020-11-19
192,KB-FT-192,270.47,229.9,2020-11-19
193,KB-FT-193,164.59,139.9,2020-11-19
194,KB-FT-194,199.88,169.9,2020-11-19
195,KB-FT-195,276.35,234.9,2020-11-19
196,KB-FT-196,435.18,369.9,2020-11-19
197,KB-FT-197,529.29,449.9,2020-11-19
198,KB-FT-198,938.71,797.9,2020-11-19
199,KB-FT-199,352.82,299.9,2020-11-19
200,KB-FT-200,352.82,299.9,2020-11-19
201,KB-FT-201,1604.59,1363.9,2020-11-19
202,KB-FT-202,235.18,199.9,2020-11-19
203,KB-FT-203,823.41,699.9,2020-11-19
204,KB-FT-204,823.41,699.9,2020-11-19
205,KB-FT-205,623.41,529.9,2020-11-19
206,KB-FT-206,882.24,749.9,2020-11-19
207,KB-FT-207,741.06,629.9,2020-11-19
208,KB-FT-208,1176.35,999.9,2020-11-19
209,KB-FT-209,576.35,489.9,2020-11-19
210,KB-FT-210,470.47,399.9,2020-11-19
211,KB-FT-211,410.47,348.9,2020-11-19
212,KB-FT-212,494.0,419.9,2020-11-19
213,KB-FT-213,705.76,599.9,2020-11-19
214,KB-FT-214,564.59,479.9,2020-11-19
215,KB-FT-215,758.89,645.06,2020-11-19
216,KB-FT-216,628.89,534.56,2020-11-19
217,KB-FT-217,741.06,629.9,2020-11-19
218,KB-FT-218,941.06,799.9,2020-11-19
219,KB-FT-219,968.12,822.9,2020-11-19
220,KB-FT-220,164.59,139.9,2020-11-19
221,KB-FT-221,705.76,599.9,2020-11-19
222,KB-FT-222,941.06,799.9,2020-11-19
223,KB-FT-223,1176.35,999.9,2020-11-19
224,KB-GP-0,289.29,245.9,2020-11-19
225,KB-GP-1,10588.12,8999.9,2020-11-19
226,KB-GP-2,4117.53,3499.9,2020-11-19
227,KB-GP-3,1117.53,949.9,2020-11-19
228,KB-GP-4,3823.41,3249.9,2020-11-19
229,KB-GP-5,1529.29,1299.9,2020-11-19
230,KB-GP-6,1776.35,1509.9,2020-11-19
231,KB-GP-7,2611.65,2219.9,2020-11-19
232,KB-GP-8,588.12,499.9,2020-11-19
233,KB-GP-9,1882.24,1599.9,2020-11-19
234,KB-GP-10,2352.82,1999.9,2020-11-19
235,KB-GP-11,2423.41,2059.9,2020-11-19
236,KB-GP-12,3329.29,2829.9,2020-11-19
237,KB-GP-13,4046.94,3439.9,2020-11-19
238,KB-GP-14,1764.59,1499.9,2020-11-19
239,KB-GP-15,3635.18,3089.9,2020-11-19
240,KB-GP-16,611.65,519.9,2020-11-19
241,KB-GP-17,5882.24,4999.9,2020-11-19
242,KB-GP-18,9831.65,8356.9,2020-11-19
243,KB-GP-19,3454.0,2935.9,2020-11-19
244,KB-GP-20,1717.53,1459.9,2020-11-19
245,KB-GP-21,2294.0,1949.9,2020-11-19
246,KB-GP-22,2035.18,1729.9,2020-11-19
247,KB-GP-23,2912.82,2475.9,2020-11-19
248,KB-GP-24,2705.76,2299.9,2020-11-19
249,KB-GP-25,2588.12,2199.9,2020-11-19
250,KB-GP-26,6235.18,5299.9,2020-11-19
251,KB-GP-27,1364.59,1159.9,2020-11-19
252,KB-GP-28,1646.94,1399.9,2020-11-19
253,KB-GP-29,3689.29,3135.9,2020-11-19
254,KB-GP-30,2035.18,1729.9,2020-11-19
255,KB-GP-31,2742.24,2330.9,2020-11-19
256,KB-GP-32,6126.94,5207.9,2020-11-19
257,KB-GP-33,1176.35,999.9,2020-11-19
258,KB-GP-34,741.06,629.9,2020-11-19
259,KB-GP-35,1631.65,1386.9,2020-11-19
260,KB-GP-36,1352.82,1149.9,2020-11-19
261,KB-GP-37,1117.53,949.9,2020-11-19
262,KB-GP-38,4588.12,3899.9,2020-11-19
263,KB-GP-39,4762.24,4047.9,2020-11-19
264,KB-GP-40,5112.82,4345.9,2020-11-19
265,KB-GP-41,1470.47,1249.9,2020-11-19
266,KB-GP-42,5176.35,4399.9,2020-11-19
267,KB-GP-43,2671.65,2270.9,2020-11-19
268,KB-GP-44,6588.12,5599.9,2020-11-19
269,KB-GP-45,1470.47,1249.9,2020-11-19
270,KB-GP-46,4917.53,4179.9,2020-11-19
271,KB-GP-47,764.59,649.9,2020-11-19
272,KB-GP-48,5961.06,5066.9,2020-11-19
273,KB-GP-49,764.59,649.9,2020-11-19
274,KB-GP-50,446.94,379.9,2020-11-19
275,KB-GP-51,1641.06,1394.9,2020-11-19
276,KB-GP-52,5555.18,4721.9,2020-11-19
277,KB-GP-53,3999.88,3399.9,2020-11-19
278,KB-GP-54,4588.12,3899.9,2020-11-19
279,KB-GP-55,3529.29,2999.9,2020-11-19
280,KB-GP-56,823.41,699.9,2020-11-19
281,KB-GP-57,1882.24,1599.9,2020-11-19
282,KB-GP-58,4023.41,3419.9,2020-11-19
283,KB-GP-59,2117.53,1799.9,2020-11-19
284,KB-GP-60,2235.18,1899.9,2020-11-19
285,KB-GP-61,2411.65,2049.9,2020-11-19
286,KB-GP-62,6258.71,5319.9,2020-11-19
287,KB-GP-63,4646.94,3949.9,2020-11-19
288,KB-GP-64,10117.53,8599.9,2020-11-19
289,KB-GP-65,3799.88,3229.9,2020-11-19
290,KB-GP-66,9423.41,8009.9,2020-11-19
291,KB-GP-67,4976.35,4229.9,2020-11-19
292,KB-GP-68,12117.53,10299.9,2020-11-19
293,KB-GP-69,2529.29,2149.9,2020-11-19
294,KB-GP-70,1717.53,1459.9,2020-11-19
295,KB-GP-71,2058.71,1749.9,2020-11-19
296,KB-GP-72,3529.29,2999.9,2020-11-19
297,KB-GP-73,7411.65,6299.9,2020-11-19
298,KB-GP-74,1446.94,1229.9,2020-11-19
299,KB-GP-75,329.29,279.9,2020-11-19
300,KB-GP-76,2599.88,2209.9,2020-11-19
301,KB-GP-77,1294.0,1099.9,2020-11-19
302,KB-GP-78,4305.76,3659.9,2020-11-19
303,KB-GP-79,2882.24,2449.9,2020-11-19
304,KB-GP-80,7058.71,5999.9,2020-11-19
305,KB-GP-81,388.12,329.9,2020-11-19
306,KB-GP-82,1882.24,1599.9,2020-11-19
307,KB-GP-83,3576.35,3039.9,2020-11-19
308,KB-GP-84,682.24,579.9,2020-11-19
309,KB-GP-85,5529.29,4699.9,2020-11-19
310,KB-GP-86,2917.53,2479.9,2020-11-19
311,KB-GP-87,5646.94,4799.9,2020-11-19
312,KB-GP-88,2352.82,1999.9,2020-11-19
313,KB-GP-89,705.76,599.9,2020-11-19
314,KB-GP-90,3411.65,2899.9,2020-11-19
315,KB-GP-91,1623.41,1379.9,2020-11-19
316,KB-GP-92,1588.12,1349.9,2020-11-19
317,KB-GP-93,1846.94,1569.9,2020-11-19
318,KB-GP-94,588.12,499.9,2020-11-19
319,KB-GP-95,665.76,565.9,2020-11-19
320,KB-GP-96,1764.59,1499.9,2020-11-19
321,KB-GP-97,3058.71,2599.9,2020-11-19
322,KB-GP-98,1705.76,1449.9,2020-11-19
323,KB-GP-99,2941.06,2499.9,2020-11-19
324,KB-GP-100,1411.65,1199.9,2020-11-19
325,KB-GP-101,2352.82,1999.9,2020-11-19
326,KB-GP-102,3858.71,3279.9,2020-11-19
327,KB-GP-103,1182.24,1004.9,2020-11-19
328,KB-GP-104,3329.29,2829.9,2020-11-19
329,KB-GP-105,2705.76,2299.9,2020-11-19
330,KB-GP-106,3588.12,3049.9,2020-11-19
331,KB-GP-107,1258.71,1069.9,2020-11-19
332,KB-GP-108,2658.71,2259.9,2020-11-19
333,KB-GP-109,2309.29,1962.9,2020-11-19
334,KB-GP-110,3601.06,3060.9,2020-11-19
335,KB-GP-111,1389.29,1180.9,2020-11-19
336,KB-GP-112,1912.82,1625.9,2020-11-19
337,KB-GP-113,2352.82,1999.9,2020-11-19
338,KB-GP-114,2705.76,2299.9,2020-11-19
339,KB-GP-115,2705.76,2299.9,2020-11-19
340,KB-GP-116,1529.29,1299.9,2020-11-19
341,KB-GP-117,1529.29,1299.9,2020-11-19
342,KB-GP-118,2459.88,2090.9,2020-11-19
343,KB-GP-119,1705.76,1449.9,2020-11-19
344,KB-GP-120,1764.59,1499.9,2020-11-19
345,KB-GP-121,2294.0,1949.9,2020-11-19
346,KB-GP-122,6588.12,5599.9,2020-11-19
347,KB-GP-123,3470.47,2949.9,2020-11-19
348,KB-GP-124,3529.29,2999.9,2020-11-19
349,KB-GP-125,2470.47,2099.9,2020-11-19
350,KB-GP-126,1529.29,1299.9,2020-11-19
351,KB-GP-127,1246.94,1059.9,2020-11-19
352,KB-GP-128,1564.59,1329.9,2020-11-19
353,KB-GP-129,682.24,579.9,2020-11-19
354,KB-GP-130,2411.65,2049.9,2020-11-19
355,KB-GP-131,1646.94,1399.9,2020-11-19
356,KB-GP-132,2529.29,2149.9,2020-11-19
357,KB-GP-133,3646.94,3099.9,2020-11-19
358,KB-GP-134,2649.29,2251.9,2020-11-19
359,KB-GP-135,4470.47,3799.9,2020-11-19
360,KB-GP-136,3294.0,2799.9,2020-11-19
361,KB-GP-137,5470.47,4649.9,2020-11-19
362,KB-GP-138,2094.0,1779.9,2020-11-19
363,KB-GP-139,1659.88,1410.9,2020-11-19
364,KB-GP-140,10774.0,9157.9,2020-11-19
365,KB-GP-141,788.12,669.9,2020-11-19
366,KB-GP-142,1176.35,999.9,2020-11-19
367,KB-GP-143,1294.0,1099.9,2020-11-19
368,KB-GP-144,2823.41,2399.9,2020-11-19
369,KB-GP-145,1882.24,1599.9,2020-11-19
370,KB-GP-146,329.29,279.9,2020-11-19
371,KB-GP-147,15999.88,13599.9,2020-11-19
372,KB-GP-148,3616.35,3073.9,2020-11-19
373,KB-GP-149,1482.24,1259.9,2020-11-19
374,KB-GP-150,679.88,577.9,2020-11-19
375,KB-GP-151,1671.65,1420.9,2020-11-19
376,KB-GP-152,1529.29,1299.9,2020-11-19
377,KB-GP-153,2752.82,2339.9,2020-11-19
378,KB-GP-154,423.41,359.9,2020-11-19
379,KB-GP-155,3877.53,3295.9,2020-11-19
380,KB-GP-156,2764.59,2349.9,2020-11-19
381,KB-GP-157,1764.59,1499.9,2020-11-19
382,KB-GP-158,2235.18,1899.9,2020-11-19
383,KB-GP-159,705.76,599.9,2020-11-19
384,KB-GP-160,436.35,370.9,2020-11-19
385,KB-GP-161,352.82,299.9,2020-11-19
386,KB-GP-162,494.0,419.9,2020-11-19
387,KB-GP-163,552.82,469.9,2020-11-19
388,KB-GP-164,776.35,659.9,2020-11-19
389,KB-GP-165,411.65,349.9,2020-11-19
390,KB-GP-166,2117.52,1799.89,2020-11-19
391,KB-GP-167,3623.9,3080.32,2020-11-19
392,KB-GP-168,2823.41,2399.9,2020-11-19
393,KB-GP-169,4576.35,3889.9,2020-11-19
394,KB-GP-170,752.82,639.9,2020-11-19
395,KB-GP-171,6623.41,5629.9,2020-11-19
396,KB-GP-172,9341.06,7939.9,2020-11-19
397,KB-GP-173,1458.71,1239.9,2020-11-19
398,KB-GP-174,1258.71,1069.9,2020-11-19
399,KB-GP-175,6446.94,5479.9,2020-11-19
400,KB-GP-176,1529.29,1299.9,2020-11-19
401,KB-GP-177,1317.53,1119.9,2020-11-19
402,KB-GP-178,1764.59,1499.9,2020-11-19
403,KB-GP-179,752.82,639.9,2020-11-19
404,KB-GP-180,3294.0,2799.9,2020-11-19
405,KB-GP-181,623.41,529.9,2020-11-19
406,KB-GP-182,1435.18,1219.9,2020-11-19
407,KB-GP-183,1588.12,1349.9,2020-11-19
408,KB-GP-184,2823.41,2399.9,2020-11-19
409,KB-GP-185,1801.06,1530.9,2020-11-19
410,KB-GP-186,2117.53,1799.9,2020-11-19
411,KB-GP-187,694.0,589.9,2020-11-19
412,KB-GP-188,1882.24,1599.9,2020-11-19
413,KB-GP-189,3529.29,2999.9,2020-11-19
414,KB-GP-190,1870.47,1589.9,2020-11-19
415,KB-GP-191,3646.94,3099.9,2020-11-19
416,KB-GP-192,2470.47,2099.9,2020-11-19
417,KB-GP-193,1517.53,1289.9,2020-11-19
418,KB-GP-194,3882.24,3299.9,2020-11-19
419,KB-GP-195,1611.65,1369.9,2020-11-19
420,KB-GP-196,2470.47,2099.9,2020-11-19
421,KB-GP-197,2011.65,1709.9,2020-11-19
422,KB-GP-198,2235.18,1899.9,2020-11-19
423,KB-GP-199,2658.71,2259.9,2020-11-19
424,KB-GP-200,1411.65,1199.9,2020-11-19
425,KB-GP-201,3635.18,3089.9,2020-11-19
426,KB-GP-202,1317.53,1119.9,2020-11-19
427,KB-GP-203,4023.41,3419.9,2020-11-19
428,KB-GP-204,2352.82,1999.9,2020-11-19
429,KB-GP-205,329.29,279.9,2020-11-19
430,KB-GP-206,3352.82,2849.9,2020-11-19
431,KB-GP-207,2588.12,2199.9,2020-11-19
432,KB-GP-208,6070.47,5159.9,2020-11-19
433,KB-GP-209,783.41,665.9,2020-11-19
434,KB-GP-210,411.65,349.9,2020-11-19
435,KB-GP-211,305.76,259.9,2020-11-19
436,KB-GP-212,294.0,249.9,2020-11-19
437,KB-GP-213,823.41,699.9,2020-11-19
438,KB-GP-214,4117.53,3499.9,2020-11-19
439,KB-GP-215,10841.06,9214.9,2020-11-19
440,KB-GP-216,7058.71,5999.9,2020-11-19
441,KB-GP-217,5764.59,4899.9,2020-11-19
442,KB-GP-218,5764.59,4899.9,2020-11-19
443,KB-GP-219,6588.12,5599.9,2020-11-19
444,KB-GP-220,1294.0,1099.9,2020-11-19
445,KB-GP-221,7011.65,5959.9,2020-11-19
446,KB-GP-222,7294.0,6199.9,2020-11-19
447,KB-GP-223,1411.65,1199.9,2020-11-19
448,KB-GP-224,5882.24,4999.9,2020-11-19
449,KB-GP-225,748.71,636.4,2020-11-19
450,KB-GP-226,3470.47,2949.9,2020-11-19
